country,n_rows,date_min,date_max,n_columns,n_missing_cols,missing_cols,missing_vals
Armenia,1674,2020-01-05,2024-08-04,67,40,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 6, 5, 5, ]"
Aruba,1674,2020-01-05,2024-08-04,67,47,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  ,  , 5,  ,  ,  ,  , 5,  ,  ,  ,  , 5,  ,  ,  ,  , 5,  , 1, 6, 7, 4, ]"
Asia,1684,2020-01-05,2024-08-14,67,63,"continent, total_cases, new_cases, new_cases_smoothed, total_deaths","[, 1, 6, 8, 4,  ,  ,  , 1, 0,  ,  ,  , 1, 0,  ,  ,  , 1, 5,  ,  ,  , 1, 0, ]"
Australia,1674,2020-01-05,2024-08-04,67,43,"new_cases_smoothed, new_deaths, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_per_million","[, 5,  , 1,  , 6,  , 5,  , 1, ]"
Austria,1674,2020-01-05,2024-08-04,67,41,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 6, 4, 6, ]"
Azerbaijan,1674,2020-01-05,2024-08-04,67,41,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 6, 6, 2, ]"
Bahamas,1674,2020-01-05,2024-08-04,67,42,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 7, 2, 0, ]"
Bahrain,1674,2020-01-05,2024-08-04,67,42,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 6, 4, 6, ]"
Bangladesh,1674,2020-01-05,2024-08-04,67,40,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 6, 7, 3, ]"
Barbados,1674,2020-01-05,2024-08-04,67,41,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 7, 6, 9, ]"
Belarus,1674,2020-01-05,2024-08-04,67,42,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 6, 6, 6, ]"
Belgium,1674,2020-01-05,2024-08-04,67,41,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 6, 4, 2, ]"
Belize,1674,2020-01-05,2024-08-04,67,45,"new_cases, new_cases_smoothed, new_deaths_smoothed, new_cases_per_million, new_cases_smoothed_per_million","[, 1,  , 6,  , 5,  , 1,  , 6, ]"
Benin,1674,2020-01-05,2024-08-04,67,40,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 7, 0, 4, ]"
Bermuda,1674,2020-01-05,2024-08-04,67,49,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  ,  , 5,  ,  ,  ,  , 5,  ,  ,  ,  , 5,  ,  ,  ,  , 5,  , 1, 6, 7, 4, ]"
Bhutan,1674,2020-01-05,2024-08-04,67,42,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 7, 8, 8, ]"
Bolivia,1674,2020-01-05,2024-08-04,67,42,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 6, 6, 7, ]"
Bonaire Sint Eustatius and Saba,1674,2020-01-05,2024-08-04,67,55,"new_cases_smoothed, new_deaths, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_per_million","[, 5,  , 1,  , 6,  , 5,  , 1, ]"
Bosnia and Herzegovina,1674,2020-01-05,2024-08-04,67,40,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 6, 5, 8, ]"
Botswana,1674,2020-01-05,2024-08-04,67,42,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 7, 5, 7, ]"
Brazil,1674,2020-01-05,2024-08-04,67,41,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 6, 4, 9, ]"
British Virgin Islands,1674,2020-01-05,2024-08-04,67,51,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  ,  , 5,  ,  ,  ,  , 5,  ,  ,  ,  , 5,  ,  ,  ,  , 5,  , 1, 6, 7, 4, ]"
Brunei,1674,2020-01-05,2024-08-04,67,42,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 6, 6, 0, ]"
Bulgaria,1674,2020-01-05,2024-08-04,67,41,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 6, 5, 6, ]"
Burkina Faso,1674,2020-01-05,2024-08-04,67,40,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 6, 6, 0, ]"
Burundi,1674,2020-01-05,2024-08-04,67,44,"new_cases, new_cases_smoothed, new_deaths_smoothed, new_cases_per_million, new_cases_smoothed_per_million","[, 1,  , 6,  , 5,  , 1,  , 6, ]"
Cambodia,1674,2020-01-05,2024-08-04,67,41,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 6, 6, 5, ]"
Cameroon,1674,2020-01-05,2024-08-04,67,42,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 6, 6, 5, ]"
Canada,1674,2020-01-05,2024-08-04,67,43,"new_cases_smoothed, new_deaths, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_per_million","[, 5,  , 1,  , 6,  , 5,  , 1, ]"
Cape Verde,1674,2020-01-05,2024-08-04,67,42,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 6, 9, 3, ]"
Cayman Islands,1674,2020-01-05,2024-08-04,67,50,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  ,  , 5,  ,  ,  ,  , 5,  ,  ,  ,  , 5,  ,  ,  ,  , 5,  , 1, 6, 7, 4, ]"
Central African Republic,1674,2020-01-05,2024-08-04,67,43,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 7, 0, 5, ]"
Chad,1674,2020-01-05,2024-08-04,67,43,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 6, 9, 9, ]"
Chile,1674,2020-01-05,2024-08-04,67,43,"new_cases_smoothed, new_deaths, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_per_million","[, 5,  , 1,  , 6,  , 5,  , 1, ]"
China,1674,2020-01-05,2024-08-04,67,43,"new_cases_smoothed, new_deaths, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_per_million","[, 5,  , 1,  , 6,  , 5,  , 1, ]"
Colombia,1674,2020-01-05,2024-08-04,67,40,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 6, 5, 4, ]"
Comoros,1674,2020-01-05,2024-08-04,67,40,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 7, 2, 7, ]"
Congo,1674,2020-01-05,2024-08-04,67,41,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 6, 8, 2, ]"
Cook Islands,1674,2020-01-05,2024-08-04,67,53,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  ,  , 5,  ,  ,  ,  , 5,  ,  ,  ,  , 5,  ,  ,  ,  , 5,  , 1, 6, 7, 4, ]"
Costa Rica,1674,2020-01-05,2024-08-04,67,40,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 6, 5, 7, ]"
Cote d'Ivoire,1674,2020-01-05,2024-08-04,67,43,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 6, 6, 3, ]"
Croatia,1674,2020-01-05,2024-08-04,67,41,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 6, 5, 5, ]"
Cuba,1674,2020-01-05,2024-08-04,67,42,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 6, 6, 4, ]"
Curacao,1674,2020-01-05,2024-08-04,67,48,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  ,  , 5,  ,  ,  ,  , 5,  ,  ,  ,  , 5,  ,  ,  ,  , 5,  , 1, 6, 7, 4, ]"
Cyprus,1674,2020-01-05,2024-08-04,67,42,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 6, 6, 0, ]"
Czechia,1682,2020-01-05,2024-08-12,67,50,"total_cases, new_cases, new_cases_smoothed, total_deaths, new_deaths","[,  , 8,  ,  , 8,  , 1, 3,  ,  , 8,  ,  , 8, ]"
Democratic Republic of Congo,1674,2020-01-05,2024-08-04,67,43,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 6, 6, 8, ]"
Denmark,1674,2020-01-05,2024-08-04,67,41,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 6, 4, 6, ]"
Djibouti,1674,2020-01-05,2024-08-04,67,41,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 6, 7, 5, ]"
Dominica,1674,2020-01-05,2024-08-04,67,47,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 9, 4, 8, ]"
Dominican Republic,1674,2020-01-05,2024-08-04,67,40,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 6, 5, 7, ]"
East Timor,2688,2020-01-05,2024-08-04,67,48,"total_cases, new_cases, new_cases_smoothed, total_deaths, new_deaths","[, 1, 0, 1, 4,  , 1, 0, 1, 4,  , 1, 0, 1, 9,  , 1, 0, 1, 4,  , 1, 0, 1, 4, ]"
Ecuador,1674,2020-01-05,2024-08-04,67,42,"new_cases, new_cases_smoothed, new_deaths_smoothed, new_cases_per_million, new_cases_smoothed_per_million","[, 1,  , 6,  , 5,  , 1,  , 6, ]"
Egypt,1674,2020-01-05,2024-08-04,67,40,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 6, 5, 0, ]"
El Salvador,1674,2020-01-05,2024-08-04,67,40,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 6, 7, 6, ]"
England,1359,2020-03-20,2023-12-08,67,60,"total_cases, new_cases, new_cases_smoothed, total_deaths, new_deaths","[, 1, 3, 5, 9,  , 1, 3, 5, 9,  , 1, 3, 5, 9,  , 1, 3, 5, 9,  , 1, 3, 5, 9, ]"
Equatorial Guinea,1674,2020-01-05,2024-08-04,67,45,"new_cases, new_cases_smoothed, new_deaths_smoothed, new_cases_per_million, new_cases_smoothed_per_million","[, 1,  , 6,  , 5,  , 1,  , 6, ]"
Eritrea,1674,2020-01-05,2024-08-04,67,42,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 7, 4, 3, ]"
Estonia,1682,2020-01-05,2024-08-12,67,49,"total_cases, new_cases, new_cases_smoothed, total_deaths, new_deaths","[,  , 8,  ,  , 8,  , 1, 3,  ,  , 8,  ,  , 8, ]"
Eswatini,1674,2020-01-05,2024-08-04,67,41,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 6, 9, 7, ]"
Ethiopia,1674,2020-01-05,2024-08-04,67,40,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 6, 8, 5, ]"
Europe,1684,2020-01-05,2024-08-14,67,63,"continent, total_cases, new_cases, new_cases_smoothed, total_deaths","[, 1, 6, 8, 4,  ,  ,  , 1, 0,  ,  ,  , 1, 0,  ,  ,  , 1, 5,  ,  ,  , 1, 0, ]"
European Union (27),3024,2020-01-05,2024-08-14,67,63,"continent, total_cases, new_cases, new_cases_smoothed, total_deaths","[, 3, 0, 2, 4,  , 1, 3, 5, 0,  , 1, 3, 5, 0,  , 1, 3, 5, 5,  , 1, 3, 5, 0, ]"
Faroe Islands,2068,2020-01-05,2024-08-04,67,60,"total_cases, new_cases, new_cases_smoothed, total_deaths, new_deaths","[, 3, 9, 4,  , 3, 9, 4,  , 3, 9, 9,  , 3, 9, 4,  , 3, 9, 4, ]"
Falkland Islands,1674,2020-01-05,2024-08-04,67,53,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  ,  , 5,  ,  ,  ,  , 5,  ,  ,  ,  , 5,  ,  ,  ,  , 5,  , 1, 6, 7, 4, ]"
Fiji,1674,2020-01-05,2024-08-04,67,43,"new_cases, new_cases_smoothed, new_deaths_smoothed, new_cases_per_million, new_cases_smoothed_per_million","[, 1,  , 6,  , 5,  , 1,  , 6, ]"
Finland,1674,2020-01-05,2024-08-04,67,42,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 6, 4, 7, ]"
France,1674,2020-01-05,2024-08-04,67,46,"new_cases, new_cases_smoothed, new_deaths, new_deaths_smoothed, new_cases_per_million","[, 4, 0, 0,  , 4, 0, 5,  , 4, 0, 0,  , 4, 0, 5,  , 4, 0, 0, ]"
French Guiana,1674,2020-01-05,2024-08-04,67,51,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  ,  , 5,  ,  ,  ,  , 5,  ,  ,  ,  , 5,  ,  ,  ,  , 5,  , 1, 6, 7, 4, ]"
French Polynesia,1674,2020-01-05,2024-08-04,67,48,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  ,  , 5,  ,  ,  ,  , 5,  ,  ,  ,  , 5,  ,  ,  ,  , 5,  , 1, 6, 7, 4, ]"
Gabon,1674,2020-01-05,2024-08-04,67,43,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 6, 8, 4, ]"
Gambia,1674,2020-01-05,2024-08-04,67,40,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 7, 7, 8, ]"
Georgia,1674,2020-01-05,2024-08-04,67,41,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 6, 6, 6, ]"
Germany,1674,2020-01-05,2024-08-04,67,46,"new_cases, new_cases_smoothed, new_deaths, new_deaths_smoothed, new_cases_per_million","[, 3, 9, 2,  , 3, 9, 7,  , 3, 9, 2,  , 3, 9, 7,  , 3, 9, 2, ]"
Ghana,1674,2020-01-05,2024-08-04,67,40,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 6, 6, 2, ]"
Gibraltar,1674,2020-01-05,2024-08-04,67,52,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  ,  , 5,  ,  ,  ,  , 5,  ,  ,  ,  , 5,  ,  ,  ,  , 5,  , 1, 6, 7, 4, ]"
Greece,1674,2020-01-05,2024-08-04,67,41,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 6, 4, 9, ]"
Greenland,1674,2020-01-05,2024-08-04,67,50,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  ,  , 5,  ,  ,  ,  , 5,  ,  ,  ,  , 5,  ,  ,  ,  , 5,  , 1, 6, 7, 4, ]"
Grenada,1674,2020-01-05,2024-08-04,67,44,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 9, 3, 1, ]"
Guadeloupe,1674,2020-01-05,2024-08-04,67,54,"new_cases_smoothed, new_deaths, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_per_million","[, 5,  , 1,  , 6,  , 5,  , 1, ]"
Guam,1674,2020-01-05,2024-08-04,67,47,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  ,  , 5,  ,  ,  ,  , 5,  ,  ,  ,  , 5,  ,  ,  ,  , 5,  , 1, 6, 7, 4, ]"
Guatemala,1674,2020-01-05,2024-08-04,67,44,"new_cases, new_cases_smoothed, new_deaths_smoothed, new_cases_per_million, new_cases_smoothed_per_million","[, 1,  , 6,  , 5,  , 1,  , 6, ]"
Guernsey,1674,2020-01-05,2024-08-04,67,54,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  ,  , 5,  ,  ,  ,  , 5,  ,  ,  ,  , 5,  ,  ,  ,  , 5,  , 1, 6, 7, 4, ]"
Guinea,1674,2020-01-05,2024-08-04,67,42,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 6, 7, 1, ]"
Guinea-Bissau,1674,2020-01-05,2024-08-04,67,43,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 6, 9, 6, ]"
Guyana,1674,2020-01-05,2024-08-04,67,43,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 7, 0, 7, ]"
Haiti,1674,2020-01-05,2024-08-04,67,40,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 7, 0, 3, ]"
High-income countries,3026,2020-01-05,2024-08-14,67,63,"continent, total_cases, new_cases, new_cases_smoothed, total_deaths","[, 3, 0, 2, 6,  , 1, 3, 5, 2,  , 1, 3, 5, 2,  , 1, 3, 5, 7,  , 1, 3, 5, 2, ]"
Honduras,1674,2020-01-05,2024-08-04,67,41,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 6, 6, 5, ]"
Hong Kong,1654,2020-01-31,2024-08-10,67,54,"total_cases, new_cases, new_cases_smoothed, total_deaths, new_deaths","[, 1, 6, 5, 4,  , 1, 6, 5, 4,  , 1, 6, 5, 4,  , 1, 6, 5, 4,  , 1, 6, 5, 4, ]"
Hungary,1674,2020-01-05,2024-08-04,67,41,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 6, 5, 7, ]"
Iceland,1674,2020-01-05,2024-08-04,67,41,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 6, 4, 8, ]"
India,1682,2020-01-05,2024-08-12,67,48,"total_cases, new_cases, new_cases_smoothed, total_deaths, new_deaths","[,  , 8,  ,  , 8,  , 1, 3,  ,  , 8,  ,  , 8, ]"
Indonesia,1674,2020-01-05,2024-08-04,67,42,"new_cases_smoothed, new_deaths, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_per_million","[, 5,  , 1,  , 6,  , 5,  , 1, ]"
Iran,1674,2020-01-05,2024-08-04,67,41,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 6, 3, 3, ]"
Iraq,1674,2020-01-05,2024-08-04,67,42,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 6, 4, 9, ]"
Ireland,1674,2020-01-05,2024-08-04,67,41,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 6, 5, 0, ]"
Isle of Man,1674,2020-01-05,2024-08-04,67,52,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  ,  , 5,  ,  ,  ,  , 5,  ,  ,  ,  , 5,  ,  ,  ,  , 5,  , 1, 6, 7, 4, ]"
Israel,1674,2020-01-05,2024-08-04,67,41,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 6, 4, 9, ]"
Italy,1677,2020-01-05,2024-08-07,67,49,"total_cases, new_cases, new_cases_smoothed, total_deaths, new_deaths","[, 3,  , 3,  , 8,  , 3,  , 3, ]"
Jamaica,1674,2020-01-05,2024-08-04,67,41,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 6, 8, 2, ]"
